date;category;title;amount;;JOAO;eu;mae;pai
02/02/2022;lazer;Btingressos *1608 2/5;59,93;;;426,67;9,9;127,24
02/02/2022;educação;Pp *Rocketseat 7/12;0;;;;;
02/02/2022;transporte;Pag*Gordobaterias 2/3;0;;;;;
05/02/2022;transporte;Uber *Uber *Trip;17,56;;;;;
05/02/2022;transporte;Uber *Uber *Trip;13,32;;;;;
07/02/2022;serviços;Paypal *Twitchinter;0;;;;;
07/02/2022;;"IOF de ""Paypal *Twitchinter""";0;;;;;
09/02/2022;serviços;Picpay*Tn9 Joaoolive;1235,91;;;;;
09/02/2022;educação;Monetiz*Luiz Silva;147;;;;;
09/02/2022;eletrônicos;Amazon Marketplace 1/2;163;0;;;;
10/02/2022;transporte;Uber *Uber *Trip;34,01;;;;;
10/02/2022;supermercado;Pg *Ze Delivery Ze Del;0;;;;;
11/02/2022;lazer;On Line Ingresse;80,3;;;;;
12/02/2022;restaurante;Ifood *Ifood;68,99;;;;;
12/02/2022;serviços;Picpay**Tn9*Joaoolivei;52;;;;;
12/02/2022;educação;Amazonprimebr;0;;;;;
12/02/2022;restaurante;99*Food*Senhor Batatao;0;;;;;
12/02/2022;serviços;Apple.Com/Bill;0;;;;;
13/02/2022;restaurante;Ifood *Ifood;0;;;;;
13/02/2022;transporte;Uber *Uber *Trip;19,95;;;;;
13/02/2022;transporte;Uber *Uber *Trip;27,31;;;;;
13/02/2022;serviços;Picpay**Tn9*Joaoolivei;35;;;;;
14/02/2022;serviços;Picpay**Tn9*Joaoolivei;155,99;;;;;
14/02/2022;serviços;Paypal *Twitchinter;0;;;;;
14/02/2022;;"IOF de ""Paypal *Twitchinter""";0;;;;;
15/02/2022;serviços;Picpay**Tn9*Joaoolivei;124,79;;;;;
15/02/2022;serviços;Picpay*Tn9 Joaoolive 1/4;57,31;;;;;
16/02/2022;serviços;Picpay**Tn9*Joaoolivei;20,8;;;;;
18/02/2022;serviços;Pic Pay*Tn9 Joaoolive;207,98;;;;;
18/02/2022;transporte;Uber *Trip Help.Uber.C;12,69;;;;;
18/02/2022;transporte;Uber *Uber *Trip;17,74;;;;;
20/02/2022;serviços;Pic Pay*Tn9 Joaoolive;72,79;;;;;
21/02/2022;serviços;Paypal *Twitchinter;0;;;;;
21/02/2022;;"IOF de ""Paypal *Twitchinter""";0;;;;;
21/02/2022;transporte;Uber *Trip Help.Uber.C;21,31;;;;;
21/02/2022;;"IOF de ""Paypal *Twitchinter""";0,52;;;;;
21/02/2022;serviços;Paypal *Twitchinter;0;;;;;
24/02/2022;;Pagamento recebido;0;;;;;
25/02/2022;transporte;Uber *Uber *Trip;17,57;;;;;
25/02/2022;transporte;Uber *Uber *Trip;13,41;;;;;
27/02/2022;transporte;Uber *Uber *Trip;0;;;;;
27/02/2022;transporte;Uber *Uber *Trip;0;;;;;
28/02/2022;;"IOF de ""Paypal *Steam Games""";0;;;;;
28/02/2022;serviços;Paypal *Steam Games;0;;;;;
01/03/2022;serviços;Paypal *Steam Games;0;;;;;
01/03/2022;;"IOF de ""Paypal *Steam Games""";0;;;;;
01/03/2022;serviços;Ebanx*Spotify;19,9;;;;;
01/03/2022;supermercado;Ifood *Ifood;0;;;;;
;;;2697,08;;;3260,89;;
